20,20
[floor1]
A1,K3,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,D5,0,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,D5,0,-1
0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1
0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1
0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1
0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1
-1,0,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0
0,-1,0,-1,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0
-1,0,-1,0,-1,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,K6,0,0,0,0,0,0,-1,0,K2
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,K1,D4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,D3,-1,D6
K5,K4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,D1,D2,T1
