20,20
[floor1]
0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,-1
0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,0
-1,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0
0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,D6,0,0,0
0,-1,-1,0,-1,0,-1,0,D4,0,K3,-1,0,-1,0,-1,K4,-1,0,0
0,0,-1,0,-1,0,-1,K5,D4,A1,0,0,0,-1,0,-1,-1,0,0,0
-1,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0
0,0,-1,0,-1,0,0,0,0,-1,-1,-1,0,-1,0,-1,0,-1,0,-1
0,-1,-1,0,-1,-1,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,0,0
0,K1,-1,0,-1,0,0,0,0,0,D1,0,0,0,0,-1,0,D3,0,0
-1,-1,-1,0,0,-1,-1,-1,-1,-1,K6,-1,-1,-1,-1,0,0,0,-1,0
-1,T1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,K2,0
-1,D5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
