20,20
[floor1]
A1,K8,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,0,D5,0,-1
0,0,K9,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,D5,0,-1
0,0,0,0,0,0,-1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1
0,0,-1,0,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-1,-1,0,-1,-1,0,-1
0,0,0,0,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1,0,-1
0,0,-1,0,-1,D8,-1,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,-1
0,0,0,0,-1,D8,-1,K3,-1,0,0,-1,0,-1,0,0,0,-1,0,D9
0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,-1,-1,0,D9
-1,0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,0,0,0,-1,0,D9
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-1,-1,0,0
K7,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,D10,0,-1,0,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,D7,-1,T1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,-1,0,D7,-1,-1,-1,-1,0,0
0,0,0,0,0,0,0,0,0,0,K6,0,0,0,0,0,0,-1,0,K2
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,K1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,D3,-1,-1
K5,K4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,D4,0,0,0,D1,D1,D2,K10
