20,20
[floor1]
0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,A1,-1,0,0,-1,K5
0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
0,-1,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0
-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,K4
0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,0
0,0,D5,-1,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,0,0,0
-1,-1,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,-1,0,-1,0,K2
-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,-1
0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1
0,-1,0,-1,0,0,-1,-1,D1,D1,-1,0,0,D2,D2,0,0,0,0,0
K1,-1,0,-1,0,0,-1,-1,0,0,-1,0,0,D2,0,0,0,0,-1,0
-1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1
0,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-1,0,0,0,-1,-1
0,0,-1,-1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,-1,0,0,0
0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0
-1,D3,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0
T1,D4,0,-1,0,0,-1,0,0,0,-1,0,-1,-1,0,K3,0,0,0,-1
